,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
563,885,2013-09-19 12:06:33.109800,2611689,-117.7875,34.053,5.2,20.023832,3.9,8.018562
564,885,2013-09-19 12:06:33.109800,2611690,-117.7875,34.053,5.2102,20.023832,3.9,8.018455
565,885,2013-09-19 11:43:54.829900,2611663,-117.7856,34.0206,3.771,19.263461,3.8,7.914199
566,885,2013-09-19 11:43:54.829900,2611662,-117.7856,34.0206,3.8,19.263461,3.8,7.913952
567,885,2013-09-19 12:06:33.519900,2611691,-117.784,34.081667,3.328,21.612852,3.75,7.745399
568,885,2013-09-19 11:43:55.909800,2611664,-117.785,34.081667,2.618,21.531367,3.68,7.647483
569,885,2013-05-15 20:00:06.230000,2924576,-118.372167,33.658333,1.083,51.042847,4.08,7.503935
570,885,2013-05-15 20:00:06.469800,2924577,-118.3663,33.6527,7.3,51.131014,3.8,7.073868
571,885,2013-05-15 20:00:06.469800,2924578,-118.3663,33.6527,7.2638,51.131014,3.77,7.028954
572,888,2013-09-19 12:06:33.519900,2611691,-117.784,34.081667,3.328,8.673435,3.75,8.488969
573,888,2013-09-19 12:06:33.109800,2611689,-117.7875,34.053,5.2,11.765546,3.9,8.431286
574,888,2013-09-19 12:06:33.109800,2611690,-117.7875,34.053,5.2102,11.765546,3.9,8.431007
575,888,2013-09-19 11:43:55.909800,2611664,-117.785,34.081667,2.618,8.710588,3.68,8.402346
576,888,2013-09-19 11:43:54.829900,2611663,-117.7856,34.0206,3.771,15.178572,3.8,8.111527
577,888,2013-09-19 11:43:54.829900,2611662,-117.7856,34.0206,3.8,15.178572,3.8,8.111137
578,888,2013-05-15 20:00:06.230000,2924576,-118.372167,33.658333,1.083,79.767527,4.08,7.116268
579,938,2013-09-19 12:06:33.109800,2611689,-117.7875,34.053,5.2,22.150657,3.9,7.935929
580,938,2013-09-19 12:06:33.109800,2611690,-117.7875,34.053,5.2102,22.150657,3.9,7.93584
581,938,2013-09-19 12:06:33.519900,2611691,-117.784,34.081667,3.328,20.854052,3.75,7.775697
582,938,2013-09-19 11:43:54.829900,2611663,-117.7856,34.0206,3.771,24.458402,3.8,7.712941
583,938,2013-09-19 11:43:54.829900,2611662,-117.7856,34.0206,3.8,24.458402,3.8,7.712785
584,938,2013-09-19 11:43:55.909800,2611664,-117.785,34.081667,2.618,20.771092,3.68,7.678236
585,809,2014-01-12 20:24:46.630000,2348704,-122.8028,38.7969,0.1,74.500161,4.8,8.255685
586,809,2014-01-12 20:24:46.740000,2348706,-122.816167,38.8135,1.9,76.633393,4.53,7.825897
