,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
271,840,2014-01-22 16:28:37.979800,2322347,121.4599,23.7177,22.3145,22.028817,3.84,7.567356
272,840,2013-10-31 16:05:18.809900,2519377,121.4484,23.5657,11.792,38.339625,3.97,7.54845
273,840,2013-12-04 10:19:46.170000,2437884,121.4658,23.8215,17.7,12.089106,3.6,7.537775
274,840,2013-08-24 14:46:43.630000,2672613,121.0497,23.8932,18.3469,50.945986,4.13,7.527821
275,840,2013-05-21 07:40:32.089900,2908026,121.78,24.29,15.5,49.45714,4.1,7.520852
276,840,2013-10-31 13:45:21.039900,2518789,121.4458,23.5738,9.9893,37.548051,3.93,7.516126
277,840,2013-10-15 07:25:19.399800,2553749,121.79,24.31,14.6,51.896444,4.1,7.486644
278,840,2013-05-14 20:40:03.819900,2927202,121.6916,24.0308,9.9,20.599941,3.6,7.482024
279,840,2013-10-31 13:45:21.039900,2518788,121.4458,23.5738,10.0,37.548051,3.9,7.471064
280,840,2014-01-29 02:14:51.299900,2302356,121.41,23.24,23.4,74.506731,4.3,7.464755
281,840,2013-10-31 15:47:56.829900,2519287,121.427,23.687,10.4,26.581381,3.7,7.438986
282,840,2013-05-20 12:24:16.239900,2911497,121.465,23.933,18.1,9.572607,3.5,7.427532
283,840,2013-05-21 04:59:38.240000,2907606,121.7582,24.2657,15.8,46.037733,4.0,7.425414
284,840,2013-10-21 15:26:00.450000,2541444,122.49,23.8892,22.8,95.488978,4.4,7.416014
285,840,2013-10-31 16:05:18.410000,2519375,121.4612,23.5558,14.08,39.075723,3.9,7.413171
286,840,2013-10-31 15:47:56.829900,2519288,121.427,23.687,10.41,26.581381,3.68,7.408875
287,840,2013-05-30 03:14:41.869800,2885475,121.6993,23.8904,46.9453,15.118157,3.99,7.398961
288,840,2013-05-20 12:24:16.239900,2911498,121.465,23.933,18.13,9.572607,3.48,7.396408
289,840,2013-11-02 06:53:18.440000,2512248,121.5667,23.7074,18.0376,21.201005,3.65,7.385789
290,840,2013-09-29 10:15:08.029900,2589487,122.5199,23.9244,27.8,98.556255,4.4,7.379383
291,840,2013-09-30 12:05:19.799900,2587270,120.96,23.85,11.1,60.304854,4.1,7.374825
292,840,2013-11-04 15:42:44.839900,2508013,121.468,23.918,17.64,8.719763,3.43,7.35706
293,840,2013-12-25 07:38:55.759900,2391384,121.4457,23.6778,16.8746,26.668437,3.7,7.351759
294,840,2013-11-01 16:31:52.259900,2516338,121.4667,23.7198,15.7,21.53297,3.6,7.348645
295,840,2013-10-31 12:04:42.969800,2518335,121.432,23.715,13.63,23.620288,3.61,7.343605
296,840,2013-07-15 15:01:29.569900,2768984,121.0496,23.9672,15.6,51.525377,4.0,7.337868
297,840,2013-11-10 04:15:54.289900,2492579,121.695,24.1248,13.7,29.211151,3.7,7.332557
298,840,2013-08-19 14:54:09.109800,2683306,121.5988,23.5916,30.0,34.364664,3.9,7.331743
299,840,2013-12-26 17:06:16.609800,2390056,122.2699,23.5249,34.96,84.121289,4.3,7.330996
300,840,2013-10-31 12:04:42.969800,2518334,121.432,23.715,13.6,23.620288,3.6,7.329082
301,840,2013-07-21 05:55:31.579900,2752202,121.483,23.91,14.8,7.030767,3.3,7.321102
302,840,2013-11-04 15:42:44.839900,2508012,121.468,23.918,17.6,8.719763,3.4,7.313644
303,840,2013-11-02 06:53:18.440000,2512247,121.5667,23.7074,18.0,21.201005,3.6,7.311549
304,840,2013-07-21 05:55:31.579900,2752203,121.483,23.91,14.85,7.030767,3.28,7.28871
305,840,2014-01-26 06:55:05.819900,2311346,121.6985,24.1134,29.2,28.308722,3.8,7.281458
306,840,2013-12-26 17:06:12.640000,2390054,122.3821,23.4926,10.5,95.873322,4.3,7.281426
307,840,2013-05-21 04:21:31.489900,2907434,121.7651,24.2681,15.0,46.598004,3.9,7.270445
